,Team,Opponent,Date,Result,Bowling,O,M,R,W,NB,WD,E/R
2,England XI,Belgium,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Andy Rishton,1,0,9,0,0,3,9
3,England XI,Belgium,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Arthur Godsal,1,0,14,0,1,0,14
4,England XI,Belgium,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Zaman Akhter,1,0,16,0,0,1,16
5,England XI,Belgium,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Sam Pearce,1.3,0,24,1,0,0,16
0,Belgium,England XI,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Rich Edwards,2,0,47,1,0,2,23.50
1,Belgium,England XI,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Alex Russell,2,0,24,1,0,0,12
2,Belgium,England XI,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Andy Rishton,1,0,9,0,0,3,9
3,Belgium,England XI,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Arthur Godsal,1,0,14,0,1,0,14
4,Belgium,England XI,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Zaman Akhter,1,0,16,0,0,1,16
5,Belgium,England XI,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Sam Pearce,1.3,0,24,1,0,0,16
0,Spain,Austria,| Tuesday 5th October | 13:00,Austria beat Spain by 7 wickets,Atif Mehmood,0.3,0,4,0,2,0,8
1,Spain,Austria,| Tuesday 5th October | 13:00,Austria beat Spain by 7 wickets,Hamza Saleem,0.3,0,8,0,0,0,16
2,Spain,Austria,| Tuesday 5th October | 13:00,Austria beat Spain by 7 wickets,Ravi Panchal,2,0,20,1,0,0,10
3,Spain,Austria,| Tuesday 5th October | 13:00,Austria beat Spain by 7 wickets,Zulqarnain Haider,1.4,0,30,0,0,0,18
4,Spain,Austria,| Tuesday 5th October | 13:00,Austria beat Spain by 7 wickets,Kuldeep Lal,2,0,34,0,0,2,17
5,Spain,Austria,| Tuesday 5th October | 13:00,Austria beat Spain by 7 wickets,Jack Perman,1,0,16,0,0,0,16
6,Spain,Austria,| Tuesday 5th October | 13:00,Austria beat Spain by 7 wickets,Adeel Raja,2,0,24,1,0,1,12
0,Austria,Spain,| Tuesday 5th October | 13:00,Austria beat Spain by 7 wickets,Atif Mehmood,0.3,0,4,0,2,0,8
1,Austria,Spain,| Tuesday 5th October | 13:00,Austria beat Spain by 7 wickets,Hamza Saleem,0.3,0,8,0,0,0,16
